tweet_url,posted_date,tweet_text,author_handle,author_name
https://twitter.com/user1/status/101,2023-11-01T10:00:00Z,"HDFC Infinia: Spend ₹10L in a year and get 10k bonus points. Best reward rate in India! #HDFC #CreditCard",@card_expert,Card Expert
https://twitter.com/user2/status/102,2023-11-01T10:05:00Z,"Amex Platinum Travel: Get 40,000 MR points on spending ₹4L. That's ₹20k value easily.",@amex_fan,Amex Fan
https://twitter.com/user3/status/103,2023-11-01T10:10:00Z,"Axis Magnus devaluation is real. But the 25k points on 1L spend is still sweet if you can hit it.",@axis_user,Axis User
https://twitter.com/user4/status/104,2023-11-01T10:15:00Z,"SBI Cashback Card: 5% cashback on all online spends. Capped at ₹5000 per month. Must have!",@cashback_king,Cashback King
https://twitter.com/user5/status/105,2023-11-01T10:20:00Z,"Standard Chartered Ultimate: Flat 3.3% reward rate. No capping. Underrated gem.",@sc_fan,SC Fan
https://twitter.com/user6/status/106,2023-11-01T10:25:00Z,"IDFC First Wealth is Lifetime Free! Just apply via the app if you are an alumni of IIT/IIM.",@ltf_hunter,LTF Hunter
https://twitter.com/user7/status/107,2023-11-01T10:30:00Z,"Amazon Pay ICICI is the king of LTF cards. 5% for Prime members. No brainer.",@icici_user,ICICI User
https://twitter.com/user8/status/108,2023-11-01T10:35:00Z,"Kotak League Platinum is now LTF for select corporate employees. Check your eligibility.",@kotak_deals,Kotak Deals
https://twitter.com/user9/status/109,2023-11-01T10:40:00Z,"IndusInd Legend Credit Card: Lifetime Free offer running now. Apply before it's gone.",@indus_fan,Indus Fan
https://twitter.com/user10/status/110,2023-11-01T10:45:00Z,"AU Lit Credit Card: First customizable LTF card. Pay only for features you use.",@au_bank,AU Bank
https://twitter.com/user11/status/111,2023-11-01T10:50:00Z,"Hack: Buy Amazon Pay Vouchers on Gyftr using Amex Gold (5x) -> Load to Amazon -> Pay Utility Bills. 10% return!",@hack_master,Hack Master
https://twitter.com/user12/status/112,2023-11-01T10:55:00Z,"Stacking: HDFC SmartBuy (5%) + Infinia (3.3%) = 8.3% on flights. Unbeatable.",@travel_hacker,Travel Hacker
https://twitter.com/user13/status/113,2023-11-01T11:00:00Z,"Use Axis Ace for offline spends (2%) and SBI Cashback for online (5%). Perfect combo.",@combo_king,Combo King
https://twitter.com/user14/status/114,2023-11-01T11:05:00Z,"Double Dip: Use CashKaro link for Amazon (5% rewards) + Pay with HDFC Millennia (5% CashPoints).",@cashkaro_fan,CashKaro Fan
https://twitter.com/user15/status/115,2023-11-01T11:10:00Z,"Joining Bonus: Get 10,000 JP Miles on Axis Vistara Infinite. Worth the ₹10k fee instantly.",@vistara_flyer,Vistara Flyer
